Original City,Date,API City,API Country,API Longitude,API Latitude,Max Temperature,% Humidity,% Cloudiness,Wind Speed,Sunrise Time,Sunset Time
cockburn town,1544404985,Cockburn Town,TC,-71.14,21.46,27.31,98,0,10.68,1544440302,1544479388
bahia honda,1544404986,Bahia Honda,CU,-83.16,22.9,27.01,65,88,3.37,1544443358,1544482103
bela,1544404987,Bela,PK,66.31,26.23,9.41,86,0,0.77,1544407878,1544445814
paamiut,1544404984,Paamiut,GL,-49.67,61.99,-1.77,100,44,4.92,1544444999,1544464370
severo-kurilsk,1544404990,Severo-Kurilsk,RU,156.12,50.68,-1.7,100,88,3.42,1544390728,1544419834
ilulissat,1544403000,Ilulissat,GL,-51.1,69.22,-12.0,55,0,6.2,0,0
plyussa,1544404992,Plyussa,RU,29.37,58.42,0.48,93,92,3.22,1544423978,1544447441
hithadhoo,1544404831,Hithadhoo,MV,73.08,-0.6,28.06,100,68,5.27,1544403338,1544447108
upernavik,1544404997,Upernavik,GL,-56.15,72.79,-13.5,100,8,2.72,0,0
fortuna,1544403300,Fortuna,US,-124.16,40.6,12.0,93,90,6.7,1544455771,1544489372
hilo,1544403180,Hilo,US,-155.08,19.71,25.6,68,75,4.1,1544460254,1544499740
mar del plata,1544405002,Mar del Plata,AR,-67.52,-46.43,23.26,38,36,8.97,1544430682,1544487293
bathsheba,1544403600,Bathsheba,BB,-59.52,13.22,26.0,69,20,9.3,1544436595,1544477517
tshikapa,1544405004,Tshikapa,CD,20.79,-6.42,21.38,97,56,1.07,1544415297,1544460258
grindavik,1544403600,Grindavik,IS,-22.43,63.84,2.0,93,75,9.3,1544439900,1544456388
conceicao da barra,1544404814,Conceicao da Barra,BR,-39.73,-18.59,22.91,100,92,7.17,1544428505,1544476112
puerto ayora,1544400000,Puerto Ayora,EC,-90.35,-0.74,26.0,65,0,3.1,1544442560,1544486358
hasaki,1544403600,Hasaki,JP,140.83,35.73,5.0,56,75,4.1,1544391314,1544426595
gazojak,1544405014,Gazojak,TM,61.4,41.19,-5.9,96,0,1.32,1544411320,1544444726
ponta do sol,1544403600,Ponta do Sol,CV,-25.09,17.2,23.0,78,0,5.1,1544428761,1544468818
stornoway,1544403000,Stornoway,GB,-6.39,58.21,2.0,93,68,2.6,1544432470,1544456120
lydenburg,1544404742,Lydenburg,ZA,30.46,-25.1,15.01,100,92,0.97,1544410864,1544460054
moses lake,1544403180,Moses Lake,US,-119.28,47.13,1.1,78,75,1.5,1544455955,1544486843
albany,1544403600,Albany,AU,117.88,-35.02,20.0,68,40,3.6,1544388455,1544440493
new norfolk,1544403600,New Norfolk,AU,147.06,-42.78,20.0,34,75,3.1,1544380019,1544434923
sao filipe,1544405023,Sao Filipe,CV,-24.5,14.9,24.81,91,0,4.52,1544428368,1544468929
miandrivazo,1544405024,Miandrivazo,MG,45.46,-19.53,21.71,92,36,1.17,1544407946,1544455768
kavieng,1544405026,Kavieng,PG,150.8,-2.57,30.01,100,8,1.27,1544384480,1544428650
kapaa,1544403360,Kapaa,US,-159.32,22.08,26.7,75,90,8.2,1544461547,1544500482
barrow,1544403300,Barrow,US,-90.4,39.51,-2.8,89,1,3.57,1544447468,1544481465
porto walter,1544405029,Porto Walter,BR,-72.74,-8.27,26.33,83,8,0.97,1544437558,1544482906
mikumi,1544405030,Mikumi,TZ,36.98,-7.4,20.01,99,92,1.37,1544411309,1544456473
port elizabeth,1544403600,Port Elizabeth,ZA,25.57,-33.92,13.0,82,0,1.5,1544410787,1544462482
kropotkin,1544405034,Kropotkin,RU,40.58,45.43,-0.2,91,24,3.57,1544417176,1544448865
bhander,1544405036,Bhander,IN,78.75,25.74,9.61,83,8,2.02,1544404830,1544442889
sandwick,1544399400,Sandwick,GB,-2.89,54.57,0.0,96,20,1.0,1544430148,1544456762
dikson,1544405041,Dikson,RU,80.55,73.51,-6.6,96,76,10.33,0,0
sault sainte marie,1544403600,Sault Sainte Marie,CA,-84.36,46.49,-1.1,86,90,4.6,1544447419,1544478612
campobello di mazara,1544403000,Campobello di Mazara,IT,12.74,37.64,17.0,72,40,12.9,1544422380,1544457030
punta arenas,1544403600,Punta Arenas,CL,-70.91,-53.16,12.0,71,0,8.7,1544429493,1544490119
manhattan,1544403120,Manhattan,US,-96.57,39.18,0.8,68,1,1.5,1544448892,1544483004
thompson,1544403600,Thompson,CA,-97.86,55.74,-17.0,84,5,1.37,1544453393,1544479117
hearst,1544405053,Hearst,CA,-83.67,49.69,-12.15,74,0,2.02,1544448047,1544477652
moscow,1544403180,Moscow,US,-117.0,46.73,4.4,72,1,6.7,1544455313,1544486390
tura,1544405058,Tura,RU,100.22,64.27,-26.95,70,76,1.27,1544410822,1544426576
samarai,1544405059,Samarai,PG,150.67,-10.62,28.71,100,68,2.42,1544383678,1544429516
omboue,1544405060,Omboue,GA,9.26,-1.57,25.71,100,48,1.82,1544418562,1544462529
vaini,1544405064,Vaini,TO,-175.2,-21.2,24.16,100,68,6.37,1544460716,1544508947
barcelos,1544405066,Barcelos,BR,-62.93,-0.97,23.31,97,48,0.97,1544435953,1544479799
kupang,1544405068,Kupang,ID,123.6,-10.16,28.36,96,100,2.47,1544390225,1544435966
